Days,TS_T,Level_T,Trend_T,Prediction_T,TS_M,Level_M,Trend_M,Prediction_M
1,77.6237623762381,77.6237623762381,0,76.799946457359,77.2994129158505,77.2994129158505,0,75.6021662794502
2,44.0151364270059,70.9020371863917,-0.672172518984644,68.6974448077536,50.5324298160689,71.9460162958942,-0.535339661995631,71.3834908417225
3,55.3182835062026,67.2475484351662,-0.970404142208731,65.1440797336093,47.0025891256716,66.5290591322532,-1.02350141216017,66.9798879350906
4,51.6403402187125,63.3497834781084,-1.26314022369363,62.2633667277359,46.0618145563299,61.6168090873404,-1.41237627543543,60.5388108533252
5,51.1467424396189,59.8986630914556,-1.48193823998955,59.4814620285042,39.1908975979772,56.0017257691194,-1.83264697971399,54.6248926776304
6,52.5054901177876,57.2344779047304,-1.60016293466312,55.8995512952485,43.6303766207031,52.061338355665,-2.04342102308803,48.9975253966228
7,50.3423278292388,54.5759175419016,-1.70600267747969,50.4716671375417,44.2280381416116,48.8599414943839,-2.15921860690734,47.8485486533268
8,60.1028074337673,54.316493378291,-1.56134482609278,49.4545467002802,52.8942115768465,47.9394206253505,-2.03534883311994,44.5513566314881
9,55.0610639619123,53.216331634141,-1.5152265178985,52.745245153763,52.7086383601762,47.2649851058197,-1.89925750176103,42.7062719513637
10,53.5494460402139,52.0707733010368,-1.47825969941907,52.077596237978,103.561869466749,57.0049559765968,-0.735334664507219,55.5519190430685
11,52.4243680066308,50.9588844826204,-1.44162261131881,48.0347209413947,45.0599421248457,54.0276854746408,-0.959528248252095,55.053130420719
12,49.0033222591371,49.4144739488687,-1.45190140356209,46.6968046958973,45.331669785819,51.5208597382747,-1.11425799706349,50.3229798084365
13,47.96257,47.9625720362453,-1.45190145446823,44.5031978534778,50.4066,50.406601392969,-1.11425803188771,49.457599756689
14,49.8698177448433,47.1825000143903,-1.3847185112069,44.3870172900176,45.2716297786723,48.4882006445995,-1.19467230353589,46.9149128445133
15,49.581839904421,46.5545931834309,-1.30903734318215,44.4903779330728,45.5265241488513,46.9401275026211,-1.23001238738014,45.1515508524166
16,71.9353567205352,50.5835160163061,-0.775241325576418,49.3582844960305,66.8902920284133,49.9461504978755,-0.806408849116693,48.86362445316
17,72.2137983320697,54.2893794189977,-0.327130852749617,54.9039318847941,65.4510556621883,52.4020044514447,-0.480182568848102,51.2091514226146
18,73.8530399104813,57.9404068350947,0.070684974135049,56.7780719246304,66.5646518745216,54.8503878809816,-0.187325969009602,54.5460894913508
19,71.4689798227416,60.7026694119321,0.339842734405287,61.9105854999605,65.1491365777082,56.7602768451192,0.022395524305124,56.8657579590453
20,68.6619718309857,62.5664040832671,0.492231928098253,61.7918483473888,61.6317746037966,57.7524928162988,0.119377568992569,59.3674810428363
21,63.05864,63.0586368090923,0.492232007870947,64.6675035274285,57.8718703852914,57.8718703852914,0.119377568992569,58.6458897665223
22,63.55087,63.5508690535706,0.492232031531683,64.2656762179005,57.991247954284,57.991247954284,0.11937756899257,56.2398850885752
23,63.9421196714897,64.0229048023797,0.490212403259432,65.1668501374078,55.4687499999997,57.5822504186212,0.066540058527034,58.316972142952
24,63.0736184338998,64.2252174512913,0.461422427824646,65.4183972733861,57.7786453250048,57.6747614467195,0.069137155484166,57.4343890049325
25,61.5656963021247,64.0624511637177,0.399003556284821,62.7462493654069,58.5717065576964,57.9094601933022,0.085693314594021,58.6822587766351
26,56.2095838169456,62.8110805393912,0.233966138223683,61.7743487893456,54.1910331384014,57.2343294339973,0.009610907204124,58.5884530603112
27,56.1996462959314,61.6759666012782,0.097058130590015,62.3796698181175,52.6936689,56.3338860529611,-0.081394521619904,55.3650944555843
28,57.4397177024112,60.9063633259768,0.010391990000876,61.1866987331802,51.5139598898925,55.3047852030515,-0.176165154448879,54.4663495191741
29,60.91676,60.9167562527821,0.010392083681323,60.6722482272607,55.1286200486026,55.1286200486026,-0.176165154448879,55.5770822726337
30,53.5853468433357,59.4587880378379,-0.136443946181232,58.3394714587608,50.3837827199371,54.0387204593104,-0.267538597933211,53.7301248050574
31,53.3901745838404,58.1359101900934,-0.255087336337557,58.577609265332,49.9494438827098,53.0068342656437,-0.343973357506559,52.4142734116277
32,60.4651162790696,58.3976815388186,-0.203401467831283,58.4258113333301,52.1961788457752,52.5695244956648,-0.353306998753797,52.6907070630723
33,61.8300153139358,58.921427119577,-0.130686762972313,58.4055521682129,57.0975416336248,53.1924823242538,-0.25568051601952,53.6625341159289
34,58.79074,58.7907402852838,-0.130686770104407,56.4885913182971,52.9368018082342,52.9368018082342,-0.25568051601952,50.3852271385294
35,58.66005,58.6600528121435,-0.130686840407993,57.9347965753603,52.6811212922147,52.6811212922147,-0.25568051601952,51.5715161184293
36,58.52937,58.5293667773884,-0.130686759842703,58.4404873138516,52.4254407761952,52.4254407761952,-0.255680516019519,51.3634905074682
37,58.39868,58.3986800140366,-0.130686760193617,59.0898614943822,52.1697602601757,52.1697602601757,-0.255680516019518,53.3442585839808
38,58.26799,58.2679926030744,-0.130686825270475,57.7361345938765,51.9140797441562,51.9140797441562,-0.255680516019517,49.5628687833781
39,58.13731,58.1373066222431,-0.130686740826552,59.0264711302399,51.6583992281367,51.6583992281367,-0.255680516019516,49.8449372472428
40,58.00662,58.0066199051332,-0.130686738454884,56.34862533126,51.4027187121172,51.4027187121172,-0.255680516019516,50.261081037208
41,57.87593,57.8759325333427,-0.130686801788451,58.2942327606734,51.1470381960976,51.1470381960977,-0.255680516019515,49.236424733607
42,57.74525,57.7452465852434,-0.130686716419535,58.0625592248441,50.8913576800781,50.8913576800781,-0.255680516019514,49.5222661228005
